company_name,date_first_certified,date_certified,current_status,description,industry,industry_category,products_and_services,country,state,city,sector,size,b_corp_profile,website,assessment_year,overall_score,impact_area_community,impact_area_customers,impact_area_environment,impact_area_governance,impact_area_workers,geom,specific,lat,long
Public Inc.,2015-03-24,2017-05-24,certified,"Public Inc. is a social impact Agency and Lab that creates scalable social change campaigns, programs and businesses. They are driven by a philosophy and approach that believes: profit and purpose go hand-in-hand; activation trumps awareness; innovation (and corresponding risk taking) is a must; and “what’s in it for me” is not a dirty question. They are big believers that if you want to engage the public in your cause you must ask them to do something (versus telling them what you want them to do or know) and have a compelling answer as to why they should do it.
 
Public Inc.'s business model is two-fold: PUBLIC Agency creates social impact strategies and campaigns (fundraising, public education, advocacy and volunteer engagement) for companies, charities, governments and foundations on a fee-for-service basis; PUBLIC Lab, where they create their own social businesses and initiatives to generate social impact (Power of 2 – crowd-funding platform, RUBR – fair trade hockey puck, 23 ½ Hours Club – a walking club to help with chronic disease prevention, Football for Good – fair trade soccer; and PUBLIC Mortgage).",Marketing & Communications Services,Business Products & Services,Social Impact Marketing Agency and Lab,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/public-inc,publicinc.com,2017,87.5,18.7,20.0,6.1,15.2,27.5,"{'lat': 43.6486762, 'lng': -79.3746261}",1,43.6486762,-79.3746261
TAS,2013-08-13,2016-11-16,certified,"Over its 30 year history TAS has been committed to creating homes, starting first with custom home building before moving into mixed-use condominiums. In its role as a city builder, TAS is in a position to contribute to the built environment in such a way that strengthens neighbourhoods and facilitates community cohesion. It achieves this through its Four Pillars of Sustainabilityª, which provides TAS with a social, ecological, economic and cultural framework.
 
 TASÕs philosophy is one of sensitivity to a communityÕs needs and desires, recognizing that each place is unique in both its challenges and opportunities. TAS works closely with communities to ensure that its process is inclusive and that the end result is one that ultimately reflects the nature of the community. Through its careful attention to sustainable design, community engagement and partnership building, TAS is able to live up to its goal of Shaping Beautiful Citiesª.",Real Estate Development,Building,Residential & Retail properties,Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 10-49,bcorporation.net/directory/tas,www.tasdesignbuild.com,2016,109.8,40.5,0.0,40.2,10.2,18.9,"{'lat': 43.7035215, 'lng': -79.4128508}",1,43.7035215,-79.4128508
Fill it Forward,2016-03-24,2018-07-31,certified,"At Cupanion they believe in a healthy planet and clean water for all. They've created a product that makes giving water as easy as drinking water. Their hope if that every time you refill a Cupanion product, you appreciate the value of clean water and celebrate the positive impact you're making by choosing to reuse. Every Cupanion product ships with a tag that connects to the Fill it Forward app allowing users to give clean water with each refill, track their environmental impact and stay hydrated.",Other,Business Products & Services,"Every time you refill, Cupanion gives clean water to a person in need.",Canada,Ontario,Guelph,Wholesale/Retail, 1-9,bcorporation.net/directory/cupanion,fillitforward.com,2018,81.8,19.7,0.0,28.5,11.5,21.9,"{'lat': 43.4923555, 'lng': -80.201005}",1,43.4923555,-80.201005
Cafe Belong,2018-05-18,2018-05-18,certified,"Every thing Cafe Belong does is local with the lowest standard of procurement being organic. They constantly strive to be sustainable and support other like minded people in the food business. But it’s more than just food choice and ingredients. Cafe Belong is about creating a connection between the natural food from our land, the farmers that nourish and harvest it, and ultimately, the people who enjoy it.",Food & Beverage,Consumer Products & Services,cafe,Canada,Ontario,Toronto,Wholesale/Retail, 10-49,bcorporation.net/directory/cafe-belong,www.cafebelong.ca,2017,87.7,44.6,0.0,20.2,3.6,19.1,"{'lat': 43.6845045, 'lng': -79.3651211}",1,43.6845045,-79.3651211
Social Impact Advisors,2017-07-05,2017-07-05,certified,"Social Impact Advisors works with ambitious not-for-profits, companies and foundations as facilitators, coaches and consultants, focused on impact and benefit for people and the planet.",Nonprofit Consulting & Fundraising,Business Products & Services,"Strategic Planning, Coaching, Facilitation",Canada,Ontario,Oakville/Burlington,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/social-impact-advisors,socialimpactadvisors.ca,2017,109.2,36.5,54.2,13.0,5.5,,"{'lat': 43.3255196, 'lng': -79.7990319}",0,43.3255196,-79.7990319
Enviro-Stewards,2011-09-06,2017-11-17,certified,"Enviro-Stewards Inc’s Engineers & Scientists serve as sustainability catalysts for industrial, commercial and institutional facilities. As such, they stimulate increased margin on sales while reducing environmental footprints and improving social conditions. Such services include:Energy Conservation and Greenhouse Gas (GHG) reduction planningEco-Efficiency, Water Conservation and Toxic Use ReductionPollution Prevention and treatment process designProduct Design for Environment and Sustainability Strategizing
 
Enviro-Stewards was founded as a social venture (see Social Venture Case Study) to provide clients services to conserve resources and staff an opportunity to serve others. Staff are facilitated to use their technical and personal skills to assist local charitable work and to help launch sustainable income generating projects in the developing world (see CTV news feature). Clients are provided with practical, economically viable measures to improve the environmental and social aspects of their operations.",Sustainability Consulting,Business Products & Services,"Energy Efficiency, Water Conservation, Sustainable Development",Canada,Ontario,Elmira,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/enviro-stewards,www.enviro-stewards.com,2017,149.1,54.1,0.0,40.8,18.5,35.7,"{'lat': 43.5957988, 'lng': -80.55278899999999}",1,43.5957988,-80.55278899999999
100km Foods Inc.,2012-12-10,2016-09-15,certified,"100km Foods Inc. is a local food distribution company based in Toronto, Ontario, Canada",Food & Beverage,Consumer Products & Services,Local Food,Canada,Ontario,Toronto,Agriculture/Growers, 10-49,bcorporation.net/directory/100km-foods-inc,www.100kmfoods.com,2016,115.6,70.6,0.0,11.4,12.3,21.3,"{'lat': 43.7061634, 'lng': -79.47606189999999}",1,43.7061634,-79.47606189999999
Gladstone Hotel (Toronto) Limited,2018-03-06,2018-03-06,certified,"A destination in itself, the Gladstone Hotel engages guests in a contemporary arts, culture and dining adventure as soon as you walk through our historic Victorian doors. As a meeting place for local creatives and travellers, they make it possible to explore and interact with the living culture of artist life in Toronto. The Gladstone offers 37 hotel rooms designed by local artists and multiple venues to provide creative spaces and endless possibilities for celebrations or corporate events. 

Their restaurant and in house catering menus focus on highlighting uniquely Toronto flavours and locally, sustainably sourced products and ingredients. And their legendary Melody Bar hosts parties, performances and celebrated weekly karaoke nights. Gallery spaces on four floors are open daily with thought-provoking art exhibitions 365 days per year. 

The Gladstone Hotel is an inviting, inclusive hospitality beacon that allows artists, neighbours, travellers and revellers to connect, collaborate, celebrate, dine, explore, participate and sing their hearts out!",Hospitality,"Restaurant, Hospitality & Travel","Hotel Accommodations, Event Venues, Bar, Restaurant, Contemporary Art Exhibits and Programs.",Canada,Ontario,Toronto,Service with Significant Environmental Footprint, 50-249,bcorporation.net/directory/gladstone-hotel-toronto-limited,www.gladstonehotel.com,2017,81.1,37.1,2.2,12.8,7.4,21.5,"{'lat': 43.642698, 'lng': -79.426906}",1,43.642698,-79.426906
DUCA Financial Services Credit Union,2015-05-29,2018-02-06,certified,"DUCA exists to help people do more, be more and achieve more with their money and their lives.
 
They do this by offering the best banking products and services in their branches, online and from mobile devices. DUCA is driven by a cooperative philosophy that puts you - a Member and owner - at the centre of every decision they make, giving you a voice in how they’re run and rewarding you for your loyalty by sharing their profits.",Credit Provider,Financial Services,Personal Banking and Financial Services,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 50-249,bcorporation.net/directory/duca-financial-services-credit-union,www.duca.com,2017,96.9,21.5,11.3,8.0,18.6,36.4,"{'lat': 43.6543085, 'lng': -79.74259889999999}",1,43.6543085,-79.74259889999999
Halcyon Consulting Group,2017-07-06,2017-07-06,certified,Sustainability strategy and innovation consulting.,Management and Financial Consulting,Business Products & Services,"Strategy, Program Evaluation and CSR",Canada,Ontario,Nepean,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/halcyon-consulting-group,www.halcyonconsultants.ca,2017,116.2,42.3,54.4,7.0,12.5,,"{'lat': 45.33490459999999, 'lng': -75.7241006}",0,45.33490459999999,-75.7241006
Investeco Capital,2013-10-15,2018-02-08,certified,"Formed in 1999, Investeco was Canada’s first environmental private equity manager, and now manages four environmentally-focussed private equity funds. These funds specialize in companies in sectors such as cleantech, sustainable agriculture and the bioeconomy. By investing in these sectors the funds are able to tap into the growing demand for environmentally superior products and services while helping mitigate environmental degradation. 
 
Investeco’s investment strategy is to acquire portfolio investments in what it believes to be exceptional companies operating in its chosen sectors. These investments are made in North American-based businesses that Investeco believes to have some or all of the following characteristics: environmental benefits, established revenues, strong growth prospects, excellent management and long-term competitive advantages, as well as the prospect of providing a profitable exit opportunity within 4 to 7 years from the date of initial investment. Although the funds have a preference for investing in already profitable companies, they sometimes invest in companies that are pre-revenue and/or not yet profitable.",Equity Investor - Developed Markets,Financial Services,Environmental Investment,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 1-9,bcorporation.net/directory/investeco-capital,www.investeco.com,2017,91.2,13.9,24.2,4.0,17.2,31.9,"{'lat': 43.6472857, 'lng': -79.3736375}",1,43.6472857,-79.3736375
Sustainability Advantage,2011-01-18,2019-12-04,certified,"The Sustainability Advantage is the company behind leading author Bob Willard that has a two-fold mission:
 
 1. To inspire business leaders to integrate sustainability strategies into company strategies.
 
 2. To provide useful resources for legions of sustainability champions so that they have the competence and confidence to accelerate the transformation toward a sustainable global society.
 
 To date, Bob Willard has delivered over a thousand talks that have helped companies re-imagine their role in sustainability issues. Specifically his work includes the following:
 
 ¥ Presentations about the sustainability business case and culture change, delivered remotely or in-person.
 
 ¥ Six books about the sustainability business case and culture change
 
 ¥ Three DVDs about the sustainability business case and culture change
 
 ¥ Spreadsheets tools that quantify the sustainability business case
 
 ¥ A master set of hundreds of slides about the sustainability business case and culture change",Nonprofit Consulting & Fundraising,Business Products & Services,Resources for Sustainability Champions,Canada,Ontario,Whitby,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/sustainability-advantage,sympatico.ca,2019,116.6,69.8,19.9,16.8,10.0,,"{'lat': 43.8975446, 'lng': -78.94293290000002}",0,43.8975446,-78.94293290000002
Busch Systems,2019-12-06,2019-12-06,certified,"Busch Systems has been a prominent designer and retailer of recycling, waste and composting containers for over 34 years, leading the way with an innovative and constantly expanding catalogue which also includes consulting services.  All products are 100% recyclable and proudly made in North America. Busch Systems is also the creator of the Resource Center, a ground-breaking recycling and waste collection analytics software application.",Industrial Manufacturing,Business Products & Services,"Waste, recycling and compost containers.  Waste Diversion consulting services.",Canada,Ontario,Barrie,Wholesale/Retail, 50-249,bcorporation.net/directory/busch-systems,www.buschsystems.com,2019,82.9,17.4,2.1,20.0,14.3,28.8,"{'lat': 44.3294964, 'lng': -79.6634072}",1,44.3294964,-79.6634072
ArcTern Ventures,2013-06-14,2017-01-31,certified,"ArcTern Ventures (formerly the MaRS Cleantech Fund) is a privately-backed venture capital fund that provides early-stage capital to companies developing breakthrough ideas in the cleantech sector. The Fund has developed a unique early-stage investment model through its partnership with MaRS, one of the largest innovation centres in world.",Equity Investor - Developed Markets,Financial Services,Cleantech Venture Capital,Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/arctern-ventures,www.arcternventures.com,2016,87.4,35.4,34.9,6.6,10.5,,"{'lat': 43.65994509999999, 'lng': -79.388831}",1,43.65994509999999,-79.388831
Muskoka Roastery Coffee Co.,2020-04-08,2020-04-08,certified,"The Muskoka Roastery Coffee Co. has been handcrafting Canada's best coffee in Huntsville, Ontario since 2000. As the first coffee roaster in Canada to source green beans exclusively from Rainforest Alliance Certified farms, one of the first brands to launch 100% compostable pods, and a 100% bullfrogpowered company, Muskoka Roastery has a long commitment to sustainable practices. 

The Muskoka Roastery's signature coffees - including Black Bear, Howling Wolf, Loon Call and Muskoka Maple - are each inspired by the Canadian landscape that greeted our founder’s pioneering family in 1862.",Food & Beverage,Consumer Products & Services,Whole Bean + Ground Coffee 100% Compostable Coffee Pods Cold Brew Coffee,Canada,Ontario,Huntsville,Manufacturing, 10-49,bcorporation.net/directory/muskoka-roastery-coffee-co,www.muskokaroastery.com,2019,97.7,19.6,4.6,35.1,15.3,22.8,"{'lat': 45.3115775, 'lng': -79.2431429}",1,45.3115775,-79.2431429
Animal Experience International,2013-03-15,2017-05-11,certified,"Animal Experience International (AEI) is an organization with a mission to help animals around the globe by matching clients with animal-related volunteer opportunities at sanctuaries, wildlife hospitals, animal clinics and conservation projects. Through their work as a wildlife veterinarian and as a volunteer coordinator for wildlife rehabilitation centres, Heather and Nora have come to understand the need for such an organization. AEI is committed to making sustainable and long lasting connections by partnering with only the very best organizations around the world. Quality, worry-free placements allow AEI’s clients to focus on taking care of the animals and getting the most possible from their volunteer experience!
 
 All of AEI’s partners are community-based organizations, and AEI works directly with the community to not only take part in conservation projects but to ensure that they are making a sustainable change. Each partner has been personally visited and assessed. AEI understands the negative impact that volunteer tourism can potentially have and is committed to ensuring their clients make a valuable and positive impact on their own lives as well as the lives of their Placement Partners around the world.",Travel & Leisure,"Restaurant, Hospitality & Travel",Travel and Volunteering,Canada,Ontario,Barrie,Service with Significant Environmental Footprint, 0,bcorporation.net/directory/animal-experience-international,www.animalexperienceinternational.com/,2017,159.6,88.6,0.0,52.6,18.4,,"{'lat': 44.3902364, 'lng': -79.6879427}",1,44.3902364,-79.6879427
Grassriots,2019-07-08,2019-08-19,certified,"Grassriots its a digital-first, full-service agency supporting non-profit and social sector organizations. They work with mission-driven organizations to lead digital transformation through a strategic and creative lens. Grassriots bridges technology with results with a data-driven approach to program delivery, fundraising, advocacy, and campaigning. They are proudly progressive and believe radical change requires radical thinking.",N/A ,Business Products & Services,Digital Agency for Non-Profits,Canada,Ontario,TORONTO,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/grassriots,www.grassriots.com,2018,82.1,20.3,18.9,7.5,4.2,31.0,"{'lat': 43.6444002, 'lng': -79.4013538}",1,43.6444002,-79.4013538
Lucky Iron Fish Enterprise,2014-03-17,2018-08-07,certified,"The Lucky Iron Fish™ is a safe, effective, easy to use solution for iron deficiency. It is simply a piece of iron that you use in the cooking process that releases 75% of your daily-required iron intake and is reusable for up to 5 years. The iron is shaped like a fish, a symbol for luck in Cambodia, the country that inspired this health innovation and where The Lucky Iron Fish Project operates and invests – improving both the health and wealth of Cambodian communities. Everything from the fish itself to the packaging and creative tools are produced in Cambodia using recycled materials and in partnership with local social agencies, NGOs and cooperatives. The Lucy Iron Fish Project will solve a preventable health problem that impacts more than 3.5 billion people worldwide and is responsible of a loss of $70 billion of global GDP. The Lucky Iron Fish™ was invented on the principle of providing Cambodians with a safe effective iron supplement solution that is affordable, accessible, and culturally appropriate.",Other,Health & Human Services,Natural health product,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/lucky-iron-fish-enterprise,www.luckyironfish.com,2018,118.5,56.2,17.9,5.2,15.4,23.6,"{'lat': 43.653226, 'lng': -79.3831843}",0,43.653226,-79.3831843
Green4Good - Compugen Finance,2017-10-05,2017-10-05,certified,The first and only company to create carbon credits from the sale of refurbished technology while supporting charities through their award winning Green4Good program (www.green4good.ca),IT Software & Services/Web Design,Business Products & Services,leasing and end-of-first-life technology disposition services,Canada,Ontario,Richmond Hill,Service with Minor Environmental Footprint, 10-49,bcorporation.net/directory/green4good-compugen-finance,www.green4good.ca,2017,91.7,21.2,0.0,36.0,11.0,23.5,"{'lat': 43.889817, 'lng': -79.387328}",1,43.889817,-79.387328
MindFull,2019-06-24,2019-06-24,certified,"MindFull Inc. is a portfolio of next-generation, functional & nutraceutical food & beverage brands. MindFull’s purpose is to create innovative, functional food products that utilize the highest quality ingredients, sustainable packaging and ethical sourcing practices to promote health and wellness with mindful nutrition. Their commitment to renewable resources, sustainable business practices and organic, ethically sourced ingredients is the foundation of their development platform. MindFull's dedication to category management principles gives them a full spectrum view of the entire market, allowing them to leverage insight and experience to guide their development path. Their sense of market stewardship provides leadership and vision in the structure of their team, as well as the brands they bring to market.",Food & Beverage,Consumer Products & Services,"functional nutrition with sustainable, organic ingredients",Canada,Ontario,Ottawa,Wholesale/Retail, 1-9,bcorporation.net/directory/mindfull,www.mindfull.com,2019,91.9,18.6,3.8,27.5,18.0,23.8,"{'lat': 43.6418521, 'lng': -79.4251968}",1,43.6418521,-79.4251968
High Park Brewery,2017-08-07,2017-08-07,certified,High Park Brewery is dedicated to providing an exceptional product to a discerning craft beer market using all natural ingredients free of preservatives. We are committed to sustainable environmental best practices and social responsibility.,Food & Beverage,Consumer Products & Services,Ontario Craft Beer,Canada,Ontario,Toronto,Wholesale/Retail, 1-9,bcorporation.net/directory/high-park-brewery,highparkbrewery.com,2017,101.0,60.2,0.0,12.7,13.7,14.4,"{'lat': 43.6698992, 'lng': -79.48342559999999}",1,43.6698992,-79.48342559999999
Mimetics Inc.,2017-01-03,2017-01-03,certified,"Mimetics loves students. They want them to have a bright future. To help get them there, they use robots to engage them in science, technology, engineering, and mathematics (STEM).
 
 Their programs and products are fun and educational. Since 2001, they have been used by 20,000 youth in schools, libraries and museums, among other organizations.
 
 Their main feature is the Jade Robot. Designed for learning by Myke Predko, the Jade Robots draws, dances, and more! It is programmable in Scratch and C+ and is durable, creative, and Made-in-Canada.

 Mimetics seeks to inspire a new generation of STEM leaders and practitioners. They want youth to know and enjoy the benefits of science, technology, engineering, and mathematics, transforming their educational experience and setting them up for a bright future.
 
 Specifically, they want to address the inequality between girls and boys - and latter men and women. Their programs and products increase girls' enrollment in advanced science and math by 10x. And they employ the same number of men as women.",Electronics,Consumer Products & Services,"Jade Educational Robot & Classroom, Workshop, Camp materials",Canada,Ontario,Picton,Wholesale/Retail, 1-9,bcorporation.net/directory/mimetics-inc,www.mimetics.ca,2016,90.3,33.1,16.5,12.7,10.3,17.7,"{'lat': 44.0086337, 'lng': -77.1374915}",1,44.0086337,-77.1374915
PATHFINDER,2018-08-08,2018-08-08,certified,"PATHFINDER is a for-profit, Canadian social enterprise dedicated to consulting for comprehensive, systemic, and sustainable international development.",Nonprofit Consulting & Fundraising,Business Products & Services,"We are Consultants in Sustainable Development for Business, Academia & Policy.",Canada,Ontario,Toronto,Service with Minor Environmental Footprint, 0,bcorporation.net/directory/pathfinder,pathfindersocent.com,2018,89.1,55.4,17.2,5.1,11.2,,"{'lat': 45.5658182, 'lng': -78.64291589999999}",1,45.5658182,-78.64291589999999
ME to WE Social Enterprises Inc.,2015-11-05,2018-02-27,certified,"Me to We is an innovative social enterprise that provides products that make an impact, empowering people to change the world with their everyday consumer choices. Me to We measures the bottom line by the people empowered and the lives transformed.",Jewelry,Consumer Products & Services,"retail, wholesale, trips and leadership training",Canada,Ontario,Toronto,Wholesale/Retail, 50-249,bcorporation.net/directory/me-to-we,www.metowe.com,2017,108.0,46.7,24.2,8.3,11.7,17.1,"{'lat': 43.6551422, 'lng': -79.36549760000001}",1,43.6551422,-79.36549760000001
Genuine Health,2012-12-17,2017-02-06,certified,"As pioneers in the industry, Genuine Health has been committed to quality and consciousness in every step of creating the highest quality natural supplements that promote health, beauty and performance from the beginning. Starting with revolutionary formulations based on research proven ingredients, they design innovative products to deliver only the best in efficacy and safety.
 
 But it is about more than just the products! They've worked hard to build their vision into a brand synonymous not only with physical and mental well-being, but also with social and environmental awareness and action, by promoting earth-friendly choices and weaving social responsibility into the fabric of the brand and all that they do!
 
 Genuine Health has always believed strongly in building a company that operates with a 360® point of view: one that provides people with the highest quality nutritional supplements, but also a company that gives the environment one less footprint, and gives to others in need – through charitable organizations and direct community action. Their founder Stewart Brown’s vision to “leave the planet better than coming in” has woven a spirit of generosity and instigating positive change into the company’s essence which permeates throughout the company.",Home & Personal Care,Consumer Products & Services,Nutritional Supplements,Canada,Ontario,Toronto,Wholesale/Retail, 50-249,bcorporation.net/directory/genuine-health,www.genuinehealth.com,2017,80.8,14.6,15.8,13.7,11.2,25.5,"{'lat': 43.6558298, 'lng': -79.4095244}",1,43.6558298,-79.4095244
